Date,Open,High,Low,Close,Adj Close,Volume,Stock Name,Ipo_price,lower_bound,upper_bound,to_filter,away_from_ipo_price_filter
2024-08-23,35.400001525878906,35.91999816894531,35.279998779296875,35.459999084472656,35.459999084472656,714933.0,3iinfoltd.NS,31.0,27.900000000000002,34.1,0,687
2024-08-23,124.79000091552734,126.37999725341797,123.05000305175781,125.33000183105469,125.33000183105469,53899.0,aaatech.NS,78.10661315917969,70.29595184326172,85.91727447509766,0,174
2024-08-23,408.95001220703125,410.3500061035156,399.3999938964844,400.6499938964844,400.6499938964844,318523.0,aadharhfc.NS,329.45001220703125,296.50501098632816,362.3950134277344,0,68
2024-08-23,12.970000267028809,13.199999809265137,12.859999656677246,12.899999618530273,12.899999618530273,201334.0,aakash.NS,5.054999828338623,4.549499845504761,5.560499811172486,0,961
2024-08-23,59.77000045776367,61.9900016784668,59.40999984741211,60.060001373291016,60.060001373291016,99289.0,aareydrugs.NS,43.349998474121094,39.01499862670899,47.68499832153321,0,293
2024-08-23,271.6000061035156,272.75,268.0,269.29998779296875,269.29998779296875,9874.0,aaron.NS,32.42044448852539,29.17840003967285,35.66248893737793,0,928
2024-08-23,72.4000015258789,73.63999938964844,70.01000213623047,73.63999938964844,73.63999938964844,152669.0,aartech.NS,39.019073486328125,35.117166137695314,42.92098083496094,0,266
2024-08-23,671.1500244140625,677.9000244140625,655.2999877929688,667.9000244140625,667.9000244140625,228504.0,aartipharm.NS,286.67547607421875,258.0079284667969,315.34302368164066,0,365
2024-08-23,650.0,654.9500122070312,635.0999755859375,640.4000244140625,640.4000244140625,24695.0,aartisurf.NS,470.5221862792969,423.4699676513672,517.5744049072266,0,977
2024-08-23,163.8000030517578,163.8000030517578,153.02000427246094,153.88999938964844,153.88999938964844,61550.0,aarvi.NS,22.290660858154297,20.061594772338868,24.51972694396973,0,1032
2024-08-22,26.950000762939453,26.950000762939453,26.299999237060547,26.399999618530273,26.399999618530273,20000.0,aatmaj.NS,53.20000076293945,47.88000068664551,58.520000839233404,0,10
2024-08-22,220.0,220.0,217.64999389648438,217.64999389648438,217.64999389648438,6500.0,abcots.NS,59.20000076293945,53.28000068664551,65.1200008392334,0,246
2024-08-23,335.0,338.0,326.79998779296875,330.3999938964844,330.3999938964844,1203313.0,abdl.NS,317.8999938964844,286.10999450683596,349.68999328613285,1,12
2024-08-23,67.02999877929688,68.0,65.68000030517578,65.68000030517578,65.68000030517578,207.0,abmintlltd.NS,129.1875,116.26875,142.10625000000002,0,12
2024-08-23,755.75,755.75,732.0,743.0,743.0,203669.0,abslamc.NS,652.9429931640625,587.6486938476563,718.2372924804688,0,31
2024-08-22,305.0,307.0,298.0,301.0,301.0,201000.0,absmarine.NS,279.29998779296875,251.36998901367187,307.22998657226566,1,44
2024-08-22,280.0,283.8500061035156,276.0,281.29998779296875,281.29998779296875,18500.0,accentmic.NS,315.0,283.5,346.5,0,11
2024-08-23,13.149999618530273,13.149999618530273,12.270000457763672,12.75,12.75,1170193.0,accuracy.NS,3.0470192432403564,2.742317318916321,3.3517211675643925,0,912
2024-08-23,35.90999984741211,35.90999984741211,34.11000061035156,34.540000915527344,34.540000915527344,87498.0,aceinteg.NS,48.5,43.65,53.35,0,88
2024-08-23,815.0,819.0,797.0499877929688,801.2000122070312,801.2000122070312,437360.0,aci.NS,451.6420593261719,406.4778533935547,496.8062652587891,0,431
2024-08-23,94.69999694824219,95.0,93.9800033569336,94.5999984741211,94.5999984741211,31170.0,acl.NS,57.599998474121094,51.83999862670898,63.35999832153321,0,317
2024-08-22,60.95000076293945,61.5,60.95000076293945,61.5,61.5,15000.0,acsal.NS,80.05000305175781,72.04500274658203,88.0550033569336,0,1
2024-08-23,97.97000122070312,97.98999786376953,94.80999755859375,95.70999908447266,95.70999908447266,4581.0,adl.NS,22.850000381469727,20.565000343322755,25.135000419616702,0,918
2024-08-23,168.0,179.8000030517578,166.5,177.8699951171875,177.8699951171875,3638920.0,aeroflex.NS,162.99180603027344,146.6926254272461,179.2909866333008,1,11
2024-08-23,917.0,921.7999877929688,900.0,902.7999877929688,902.7999877929688,51735.0,aether.NS,774.4000244140625,696.9600219726562,851.8400268554689,0,539
2024-08-23,111.55000305175781,118.9000015258789,110.0,115.83999633789062,115.83999633789062,370908.0,afil.NS,133.35000610351562,120.01500549316407,146.6850067138672,0,0
2024-08-22,103.44999694824219,103.44999694824219,103.44999694824219,103.44999694824219,103.44999694824219,0.0,agarwalft.NS,44.04999923706055,39.6449993133545,48.454999160766604,0,224
2024-08-23,999.0,999.0,955.3499755859375,962.0499877929688,962.0499877929688,1671.0,agiil.NS,885.3499755859375,796.8149780273437,973.8849731445313,1,10
2024-08-22,47.0,48.900001525878906,47.0,48.650001525878906,48.650001525878906,60000.0,agni.NS,26.25,23.625,28.875000000000004,0,270
2024-08-23,94.98999786376953,98.25,93.41000366210938,94.56999969482422,94.56999969482422,1072064.0,agstra.NS,161.0500030517578,144.94500274658205,177.1550033569336,0,3
2024-08-22,62.0,62.0,62.0,62.0,62.0,0.0,agul.NS,60.099998474121094,54.08999862670898,66.10999832153321,1,157
2024-08-23,589.25,601.7999877929688,585.9500122070312,599.5999755859375,599.5999755859375,467941.0,ahl.NS,218.39999389648438,196.55999450683595,240.23999328613283,0,380
2024-08-23,106.91999816894531,107.81999969482422,102.0,104.31999969482422,104.31999969482422,42023.0,ahlada.NS,66.1525650024414,59.53730850219727,72.76782150268555,0,872
